time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-10T20:28:25.740Z,20.0437,-61.0833,10,6.6,mww,95,37,2.454,0.81,us,us7000keq3,2023-07-11T20:44:23.095Z,"277 km NNE of Codrington, Antigua and Barbuda",earthquake,7.63,1.809,0.057,30,reviewed,us,us
2023-07-02T10:27:43.750Z,-17.8785,-174.9429,229,6.9,mww,136,23,1.179,0.98,us,us6000kpls,2023-07-05T18:11:46.040Z,,earthquake,7.16,1.84,0.041,58,reviewed,us,us
2023-06-25T07:16:59.490Z,-24.0318,-175.6262,7.087,6,mww,65,43,2.875,0.94,us,us7000kayb,2023-06-26T18:27:35.040Z,south of Tonga,earthquake,6.23,3.711,0.075,17,reviewed,us,us
2023-06-19T11:18:11.960Z,-4.4729,144.8345,23.844,6.2,mww,108,22,4.56,0.61,us,us7000k9jv,2023-07-05T05:16:02.979Z,"96 km ESE of Angoram, Papua New Guinea",earthquake,7.71,3.418,0.049,40,reviewed,us,us
2023-06-18T20:30:22.468Z,23.2012,-108.6126,10,6.4,mww,104,100,4.58,0.78,us,us7000k9f0,2023-07-03T17:30:43.105Z,"108 km ESE of La Rivera, Mexico",earthquake,11.37,1.82,0.033,88,reviewed,us,us
2023-06-17T11:26:21.874Z,-23.4419,-175.4278,35,6,mww,29,129,2.27,0.9,us,us7000k96l,2023-06-18T11:33:58.280Z,"237 km SSW of ‘Ohonua, Tonga",earthquake,8.7,2,0.056,31,reviewed,us,us
2023-06-16T19:10:50.520Z,-23.478,-175.5092,16,6.2,mww,107,53,2.315,1.01,us,us7000k91w,2023-06-17T19:18:41.097Z,"243 km SSW of ‘Ohonua, Tonga",earthquake,7.67,1.765,0.041,56,reviewed,us,us
2023-06-16T08:11:34.292Z,-23.5487,-175.9066,21.006,6,mww,178,62,2.455,0.44,us,us7000k8vq,2023-06-29T12:52:52.755Z,"263 km SSW of ‘Ohonua, Tonga",earthquake,10.01,4.15,0.063,24,reviewed,us,us
2023-06-15T18:06:28.174Z,-22.976,-177.13,175.089,7.2,mww,149,21,2.535,0.9,us,us7000k8qh,2023-06-23T14:45:44.782Z,"274 km SW of Houma, Tonga",earthquake,6.38,3.26,0.054,33,reviewed,us,us
2023-06-15T02:19:23.236Z,13.7646,120.7321,112,6.2,mww,147,22,8.184,0.64,us,us7000k8jz,2023-07-11T01:51:36.887Z,"9 km SSE of Hukay, Philippines",earthquake,7.47,1.809,0.034,84,reviewed,us,us
